ecg [uV],sensor timer [s],Label: QRS_freq,Label: Artifact
-131,10.502743808,,
-134,10.51044416,,
-131,10.518144384,,
-124,10.525844736,,
-120,10.53354496,,
-115,10.541245312,,
-106,10.548945536,,
-101,10.556645888,,
-103,10.564346112,,
-103,10.572046464,,
-96,10.579746688,,
-91,10.58744704,,
-94,10.595147264,,
-94,10.602847616,,
-87,10.61054784,,
-80,10.618248192,,
-84,10.625948416,,
-91,10.633648768,,
-87,10.641348992,,
-87,10.649049344,,
-82,10.656749568,,
-75,10.66444992,,
-82,10.672150128,,
-87,10.67985088,,
-82,10.687551616,,
-77,10.695252352,,
-73,10.70295296,,
-70,10.710653696,,
-56,10.718354432,,
-14,10.726055168,,
30,10.733755904,,
42,10.741456512,,
23,10.749157248,,
-7,10.756857984,,
-32,10.76455872,,
-44,10.772259328,,
-61,10.779960064,,
-84,10.7876608,,
-96,10.795361536,,
-94,10.803062272,,
-87,10.81076288,,
-77,10.818463616,,
-77,10.826164352,,
-94,10.833865088,,
-143,10.841565824,,
-195,10.849266432,1.0,
-18,10.856967168,,
732,10.864667904,,
1877,10.87236864,,
2202,10.880069248,,
720,10.887769984,,
-1093,10.89547072,,
-1081,10.903171456,,
-235,10.910872192,1.0,1.0
-256,10.9185728,,
-414,10.926273536,,
-214,10.933974272,,
-202,10.941675008,,
-282,10.949375744,,1.0
-214,10.957076352,,
-183,10.964777088,,
-221,10.972477824,,
-195,10.98017856,,
-155,10.987879168,,
-169,10.995579904,,
-179,11.00328064,,
-160,11.010981376,,
-148,11.018682112,,
-148,11.02638272,,
-127,11.034083456,,
-103,11.041784192,,
-98,11.049484928,,
-98,11.057185664,,
-91,11.064886272,,
-80,11.072587008,,
-61,11.080287744,,
-40,11.08798848,,
-21,11.095689088,,
-4,11.103389824,,
9,11.11109056,,
28,11.118791296,,
56,11.126492032,,
91,11.13419264,,
136,11.141893376,,
176,11.149594112,,
209,11.157294848,,
242,11.164995584,,
280,11.172696192,,
315,11.180396928,,
341,11.188097664,,
353,11.1957984,,
325,11.203499008,,
261,11.211199744,,
190,11.21890048,,
127,11.226601216,,
58,11.23430186,,
-9,11.242002176,,
-58,11.249702528,,
-94,11.257402752,,
-127,11.265103104,,
-148,11.272803328,,
-155,11.28050368,,
-160,11.288203904,,
-167,11.295904256,,
-176,11.30360448,,
-174,11.311304832,,
-160,11.319005056,,
-143,11.326705408,,
-136,11.334405632,,
-148,11.342105984,,
-155,11.349806208,,
-164,11.35750656,,
-174,11.365206784,,
-169,11.372907136,,
-162,11.38060736,,
-167,11.388307712,,
-169,11.396007936,,
-164,11.403708288,,
-164,11.411408512,,
-167,11.419108864,,
-176,11.426809088,,
-186,11.43450944,,
-190,11.442209792,,
-193,11.449910016,,
-195,11.457610368,,
-188,11.465310592,,
-171,11.473010944,,
-181,11.480711168,,
-204,11.48841152,,
-202,11.496111744,,
